sigma_a_Yb:CaF2_x	sigma_a_Yb:CaF2_y	sigma_e_Füchtbauer_x	sigma_e_Füchtbauer_y	sigma_e_McCumber_x	sigma_e_McCumber_y	sigma_e_average_x	sigma_e_average_y	sigma_a_average_x	sigma_a_average_y
8.36400e+02	1.07953e-23	8.36400e+02	2.41782e-23	8.36400e+02	3.31652e-27	8.36400e+02	3.31652e-27	8.36400e+02	1.07953e-23
8.36750e+02	9.47758e-24	8.36750e+02	2.36529e-23	8.36750e+02	2.98237e-27	8.36750e+02	2.98237e-27	8.36750e+02	9.47758e-24
8.37100e+02	1.07877e-23	8.37100e+02	2.31408e-23	8.37100e+02	3.47699e-27	8.37100e+02	3.47699e-27	8.37100e+02	1.07877e-23
8.37450e+02	1.53486e-23	8.37450e+02	2.42989e-23	8.37450e+02	5.06690e-27	8.37450e+02	5.06690e-27	8.37450e+02	1.53486e-23
8.37800e+02	1.82347e-23	8.37800e+02	2.62771e-23	8.37800e+02	6.16543e-27	8.37800e+02	6.16543e-27	8.37800e+02	1.82347e-23
8.38150e+02	2.08403e-23	8.38150e+02	2.63683e-23	8.38150e+02	7.21693e-27	8.38150e+02	7.21693e-27	8.38150e+02	2.08403e-23
8.38500e+02	2.33858e-23	8.38500e+02	2.34552e-23	8.38500e+02	8.29422e-27	8.38500e+02	8.29422e-27	8.38500e+02	2.33858e-23
8.38850e+02	2.25628e-23	8.38850e+02	1.98532e-23	8.38850e+02	8.19560e-27	8.38850e+02	8.19560e-27	8.38850e+02	2.25628e-23
8.39200e+02	2.33621e-23	8.39200e+02	1.89291e-23	8.39200e+02	8.69075e-27	8.39200e+02	8.69075e-27	8.39200e+02	2.33621e-23
8.39550e+02	2.62397e-23	8.39550e+02	2.12481e-23	8.39550e+02	9.99661e-27	8.39550e+02	9.99661e-27	8.39550e+02	2.62397e-23
8.39900e+02	2.76590e-23	8.39900e+02	2.40217e-23	8.39900e+02	1.07912e-26	8.39900e+02	1.07912e-26	8.39900e+02	2.76590e-23
8.40250e+02	3.14298e-23	8.40250e+02	2.45502e-23	8.40250e+02	1.25576e-26	8.40250e+02	1.25576e-26	8.40250e+02	3.14298e-23
8.40600e+02	3.58498e-23	8.40600e+02	2.33392e-23	8.40600e+02	1.46681e-26	8.40600e+02	1.46681e-26	8.40600e+02	3.58498e-23
8.40950e+02	3.82139e-23	8.40950e+02	2.30550e-23	8.40950e+02	1.60111e-26	8.40950e+02	1.60111e-26	8.40950e+02	3.82139e-23
8.41300e+02	3.98069e-23	8.41300e+02	2.48346e-23	8.41300e+02	1.70791e-26	8.41300e+02	1.70791e-26	8.41300e+02	3.98069e-23
8.41650e+02	3.98477e-23	8.41650e+02	2.67702e-23	8.41650e+02	1.75067e-26	8.41650e+02	1.75067e-26	8.41650e+02	3.98477e-23
8.42000e+02	3.76747e-23	8.42000e+02	2.64524e-23	8.42000e+02	1.69488e-26	8.42000e+02	1.69488e-26	8.42000e+02	3.76747e-23
8.42350e+02	3.76482e-23	8.42350e+02	2.41777e-23	8.42350e+02	1.73426e-26	8.42350e+02	1.73426e-26	8.42350e+02	3.76482e-23
8.42700e+02	3.70491e-23	8.42700e+02	2.26380e-23	8.42700e+02	1.74750e-26	8.42700e+02	1.74750e-26	8.42700e+02	3.70491e-23
8.43050e+02	3.27095e-23	8.43050e+02	2.35203e-23	8.43050e+02	1.57971e-26	8.43050e+02	1.57971e-26	8.43050e+02	3.27095e-23
8.43400e+02	2.73180e-23	8.43400e+02	2.54020e-23	8.43400e+02	1.35085e-26	8.43400e+02	1.35085e-26	8.43400e+02	2.73180e-23
8.43750e+02	2.33207e-23	8.43750e+02	2.55903e-23	8.43750e+02	1.18071e-26	8.43750e+02	1.18071e-26	8.43750e+02	2.33207e-23
8.44100e+02	2.29055e-23	8.44100e+02	2.35064e-23	8.44100e+02	1.18735e-26	8.44100e+02	1.18735e-26	8.44100e+02	2.29055e-23
8.44450e+02	2.41489e-23	8.44450e+02	2.13824e-23	8.44450e+02	1.28164e-26	8.44450e+02	1.28164e-26	8.44450e+02	2.41489e-23
8.44800e+02	2.70310e-23	8.44800e+02	2.15609e-23	8.44800e+02	1.46876e-26	8.44800e+02	1.46876e-26	8.44800e+02	2.70310e-23
8.45150e+02	3.13374e-23	8.45150e+02	2.38582e-23	8.45150e+02	1.74326e-26	8.45150e+02	1.74326e-26	8.45150e+02	3.13374e-23
8.45500e+02	3.54369e-23	8.45500e+02	2.60514e-23	8.45500e+02	2.01818e-26	8.45500e+02	2.01818e-26	8.45500e+02	3.54369e-23
8.45850e+02	3.69444e-23	8.45850e+02	2.64799e-23	8.45850e+02	2.15400e-26	8.45850e+02	2.15400e-26	8.45850e+02	3.69444e-23
8.46200e+02	3.29605e-23	8.46200e+02	2.54322e-23	8.46200e+02	1.96733e-26	8.46200e+02	1.96733e-26	8.46200e+02	3.29605e-23
8.46550e+02	2.97965e-23	8.46550e+02	2.40671e-23	8.46550e+02	1.82065e-26	8.46550e+02	1.82065e-26	8.46550e+02	2.97965e-23
8.46900e+02	3.14130e-23	8.46900e+02	2.28830e-23	8.46900e+02	1.96490e-26	8.46900e+02	1.96490e-26	8.46900e+02	3.14130e-23
8.47250e+02	3.50639e-23	8.47250e+02	2.18314e-23	8.47250e+02	2.24518e-26	8.47250e+02	2.24518e-26	8.47250e+02	3.50639e-23
8.47600e+02	3.99923e-23	8.47600e+02	2.13989e-23	8.47600e+02	2.62133e-26	8.47600e+02	2.62133e-26	8.47600e+02	3.99923e-23
8.47950e+02	4.52920e-23	8.47950e+02	2.25279e-23	8.47950e+02	3.03886e-26	8.47950e+02	3.03886e-26	8.47950e+02	4.52920e-23
8.48300e+02	5.08282e-23	8.48300e+02	2.51287e-23	8.48300e+02	3.49084e-26	8.48300e+02	3.49084e-26	8.48300e+02	5.08282e-23
8.48650e+02	5.47608e-23	8.48650e+02	2.73512e-23	8.48650e+02	3.84966e-26	8.48650e+02	3.84966e-26	8.48650e+02	5.47608e-23
8.49000e+02	5.46943e-23	8.49000e+02	2.71203e-23	8.49000e+02	3.93563e-26	8.49000e+02	3.93563e-26	8.49000e+02	5.46943e-23
8.49350e+02	5.09097e-23	8.49350e+02	2.44186e-23	8.49350e+02	3.74958e-26	8.49350e+02	3.74958e-26	8.49350e+02	5.09097e-23
8.49700e+02	5.01994e-23	8.49700e+02	2.15257e-23	8.49700e+02	3.78428e-26	8.49700e+02	3.78428e-26	8.49700e+02	5.01994e-23
8.50050e+02	5.38970e-23	8.50050e+02	2.07661e-23	8.50050e+02	4.15856e-26	8.50050e+02	4.15856e-26	8.50050e+02	5.38970e-23
8.50400e+02	5.82431e-23	8.50400e+02	2.23286e-23	8.50400e+02	4.59948e-26	8.50400e+02	4.59948e-26	8.50400e+02	5.82431e-23
8.50750e+02	6.10142e-23	8.50750e+02	2.45309e-23	8.50750e+02	4.93143e-26	8.50750e+02	4.93143e-26	8.50750e+02	6.10142e-23
8.51100e+02	6.07680e-23	8.51100e+02	2.58599e-23	8.51100e+02	5.02674e-26	8.51100e+02	5.02674e-26	8.51100e+02	6.07680e-23
8.51450e+02	6.28639e-23	8.51450e+02	2.61830e-23	8.51450e+02	5.32198e-26	8.51450e+02	5.32198e-26	8.51450e+02	6.28639e-23
8.51800e+02	6.50822e-23	8.51800e+02	2.60246e-23	8.51800e+02	5.63881e-26	8.51800e+02	5.63881e-26	8.51800e+02	6.50822e-23
8.52150e+02	6.28159e-23	8.52150e+02	2.54380e-23	8.52150e+02	5.56979e-26	8.52150e+02	5.56979e-26	8.52150e+02	6.28159e-23
8.52500e+02	5.83520e-23	8.52500e+02	2.42186e-23	8.52500e+02	5.29494e-26	8.52500e+02	5.29494e-26	8.52500e+02	5.83520e-23
8.52850e+02	5.77715e-23	8.52850e+02	2.29422e-23	8.52850e+02	5.36472e-26	8.52850e+02	5.36472e-26	8.52850e+02	5.77715e-23
8.53200e+02	6.08973e-23	8.53200e+02	2.29259e-23	8.53200e+02	5.78697e-26	8.53200e+02	5.78697e-26	8.53200e+02	6.08973e-23
8.53550e+02	6.52708e-23	8.53550e+02	2.47208e-23	8.53550e+02	6.34723e-26	8.53550e+02	6.34723e-26	8.53550e+02	6.52708e-23
8.53900e+02	6.61187e-23	8.53900e+02	2.70418e-23	8.53900e+02	6.57949e-26	8.53900e+02	6.57949e-26	8.53900e+02	6.61187e-23
8.54250e+02	6.53257e-23	8.54250e+02	2.78277e-23	8.54250e+02	6.65193e-26	8.54250e+02	6.65193e-26	8.54250e+02	6.53257e-23
8.54600e+02	6.74947e-23	8.54600e+02	2.64678e-23	8.54600e+02	7.03266e-26	8.54600e+02	7.03266e-26	8.54600e+02	6.74947e-23
8.54950e+02	7.01131e-23	8.54950e+02	2.45676e-23	8.54950e+02	7.47529e-26	8.54950e+02	7.47529e-26	8.54950e+02	7.01131e-23
8.55300e+02	7.02857e-23	8.55300e+02	2.42401e-23	8.55300e+02	7.66773e-26	8.55300e+02	7.66773e-26	8.55300e+02	7.02857e-23
8.55650e+02	6.86638e-23	8.55650e+02	2.58479e-23	8.55650e+02	7.66461e-26	8.55650e+02	7.66461e-26	8.55650e+02	6.86638e-23
8.56000e+02	6.69545e-23	8.56000e+02	2.77427e-23	8.56000e+02	7.64710e-26	8.56000e+02	7.64710e-26	8.56000e+02	6.69545e-23
8.56350e+02	6.88140e-23	8.56350e+02	2.81455e-23	8.56350e+02	8.04154e-26	8.56350e+02	8.04154e-26	8.56350e+02	6.88140e-23
8.56700e+02	7.32746e-23	8.56700e+02	2.69112e-23	8.56700e+02	8.76101e-26	8.56700e+02	8.76101e-26	8.56700e+02	7.32746e-23
