X0_0	Y0_0	X0_1	Y0_1	X0_2	Y0_2	X0_3	Y0_3	X0_4	Y0_4	X0_5	Y0_5
		8.26600e+02	7.11248e-24	8.26600e+02	-2.62830e-26	8.26600e+02	1.10711e-27	8.26600e+02	1.10711e-27	8.26600e+02	7.11248e-24
		8.26950e+02	7.21881e-24	8.26950e+02	-3.34785e-26	8.26950e+02	1.15160e-27	8.26950e+02	1.15160e-27	8.26950e+02	7.21881e-24
		8.27300e+02	7.82081e-24	8.27300e+02	4.45658e-26	8.27300e+02	1.27863e-27	8.27300e+02	1.27863e-27	8.27300e+02	7.82081e-24
		8.27650e+02	8.12164e-24	8.27650e+02	9.82081e-26	8.27650e+02	1.36077e-27	8.27650e+02	1.36077e-27	8.27650e+02	8.12164e-24
		8.28000e+02	8.73272e-24	8.28000e+02	5.38944e-26	8.28000e+02	1.49944e-27	8.28000e+02	1.49944e-27	8.28000e+02	8.73272e-24
		8.28350e+02	8.98046e-24	8.28350e+02	-2.55835e-26	8.28350e+02	1.58019e-27	8.28350e+02	1.58019e-27	8.28350e+02	8.98046e-24
		8.28700e+02	8.69433e-24	8.28700e+02	-2.98011e-26	8.28700e+02	1.56772e-27	8.28700e+02	1.56772e-27	8.28700e+02	8.69433e-24
		8.29050e+02	8.92775e-24	8.29050e+02	4.60342e-26	8.29050e+02	1.64963e-27	8.29050e+02	1.64963e-27	8.29050e+02	8.92775e-24
		8.29400e+02	8.86119e-24	8.29400e+02	9.55962e-26	8.29400e+02	1.67780e-27	8.29400e+02	1.67780e-27	8.29400e+02	8.86119e-24
		8.29750e+02	8.81474e-24	8.29750e+02	5.00430e-26	8.29750e+02	1.71022e-27	8.29750e+02	1.71022e-27	8.29750e+02	8.81474e-24
		8.30100e+02	8.23113e-24	8.30100e+02	-2.61983e-26	8.30100e+02	1.63639e-27	8.30100e+02	1.63639e-27	8.30100e+02	8.23113e-24
		8.30450e+02	8.16692e-24	8.30450e+02	-2.52906e-26	8.30450e+02	1.66365e-27	8.30450e+02	1.66365e-27	8.30450e+02	8.16692e-24
		8.30800e+02	7.41037e-24	8.30800e+02	5.35282e-26	8.30800e+02	1.54671e-27	8.30800e+02	1.54671e-27	8.30800e+02	7.41037e-24
		8.31150e+02	7.03374e-24	8.31150e+02	1.01966e-25	8.31150e+02	1.50424e-27	8.31150e+02	1.50424e-27	8.31150e+02	7.03374e-24
		8.31500e+02	7.73494e-24	8.31500e+02	5.25124e-26	8.31500e+02	1.69487e-27	8.31500e+02	1.69487e-27	8.31500e+02	7.73494e-24
		8.31850e+02	8.46120e-24	8.31850e+02	-2.72318e-26	8.31850e+02	1.89955e-27	8.31850e+02	1.89955e-27	8.31850e+02	8.46120e-24
		8.32200e+02	7.56462e-24	8.32200e+02	-2.66923e-26	8.32200e+02	1.73996e-27	8.32200e+02	1.73996e-27	8.32200e+02	7.56462e-24
		8.32550e+02	6.92060e-24	8.32550e+02	5.53605e-26	8.32550e+02	1.63087e-27	8.32550e+02	1.63087e-27	8.32550e+02	6.92060e-24
		8.32900e+02	6.26257e-24	8.32900e+02	1.08373e-25	8.32900e+02	1.51196e-27	8.32900e+02	1.51196e-27	8.32900e+02	6.26257e-24
		8.33250e+02	6.16947e-24	8.33250e+02	6.09996e-26	8.33250e+02	1.52596e-27	8.33250e+02	1.52596e-27	8.33250e+02	6.16947e-24
