# wavelength in nm, signal in a.u.
8.7980e+02,4.1910e-09
8.8000e+02,6.9690e-09
8.8020e+02,5.8410e-09
8.8040e+02,9.7690e-09
8.8060e+02,1.1560e-08
8.8080e+02,8.9440e-09
8.8100e+02,5.0080e-09
8.8120e+02,8.9900e-09
8.8140e+02,7.8660e-09
8.8160e+02,9.2610e-09
8.8180e+02,8.0600e-09
8.8200e+02,8.7850e-09
8.8220e+02,8.0030e-09
8.8240e+02,8.5550e-09
8.8260e+02,7.6690e-09
8.8280e+02,1.0010e-08
8.8300e+02,8.9770e-09
8.8320e+02,9.7540e-09
8.8340e+02,8.2410e-09
8.8360e+02,6.6440e-09
8.8380e+02,8.2600e-09
8.8400e+02,9.5450e-09
8.8420e+02,8.6590e-09
8.8440e+02,1.1670e-08
8.8460e+02,9.4910e-09
8.8480e+02,9.2880e-09
8.8500e+02,1.0450e-08
8.8520e+02,1.2720e-08
8.8540e+02,9.0000e-09
8.8560e+02,1.1420e-08
8.8580e+02,1.3130e-08
8.8600e+02,1.0910e-08
8.8620e+02,1.3900e-08
8.8640e+02,1.4800e-08
8.8660e+02,9.3490e-09
8.8680e+02,1.2220e-08
8.8700e+02,1.4120e-08
8.8720e+02,1.1860e-08
8.8740e+02,1.1060e-08
8.8760e+02,1.1860e-08
8.8780e+02,1.2950e-08
8.8800e+02,1.5240e-08
8.8820e+02,1.3130e-08
8.8840e+02,1.4610e-08
8.8860e+02,1.4680e-08
8.8880e+02,1.5990e-08
8.8900e+02,1.6040e-08
8.8920e+02,1.6580e-08
8.8940e+02,1.3270e-08
8.8960e+02,1.4000e-08
8.8980e+02,1.9390e-08
8.9000e+02,1.6030e-08
8.9020e+02,1.7470e-08
8.9040e+02,1.5330e-08
8.9060e+02,1.7440e-08
8.9080e+02,1.9050e-08
8.9100e+02,1.8320e-08
8.9120e+02,1.5040e-08
8.9140e+02,1.7070e-08
8.9160e+02,1.7910e-08
8.9180e+02,1.8660e-08
8.9200e+02,2.1320e-08
8.9220e+02,2.0560e-08
8.9240e+02,2.0120e-08
8.9260e+02,2.3500e-08
8.9280e+02,2.1060e-08
8.9300e+02,2.2590e-08
8.9320e+02,2.2380e-08
8.9340e+02,2.3870e-08
8.9360e+02,2.3190e-08
8.9380e+02,2.5530e-08
8.9400e+02,2.6520e-08
8.9420e+02,2.4440e-08
8.9440e+02,2.9410e-08
8.9460e+02,2.6190e-08
8.9480e+02,2.6830e-08
8.9500e+02,2.7370e-08
8.9520e+02,2.6770e-08
8.9540e+02,2.7090e-08
8.9560e+02,3.0720e-08
8.9580e+02,2.8460e-08
8.9600e+02,3.1530e-08
8.9620e+02,3.3320e-08
8.9640e+02,3.0830e-08
8.9660e+02,3.2620e-08
8.9680e+02,3.2180e-08
8.9700e+02,3.4410e-08
8.9720e+02,3.3920e-08
8.9740e+02,3.2700e-08
8.9760e+02,3.5270e-08
8.9780e+02,3.4120e-08
8.9800e+02,3.3450e-08
8.9820e+02,3.6460e-08
8.9840e+02,3.7160e-08
8.9860e+02,4.0100e-08
8.9880e+02,4.0230e-08
8.9900e+02,3.7680e-08
8.9920e+02,4.0640e-08
8.9940e+02,4.1190e-08
8.9960e+02,4.3080e-08
8.9980e+02,4.3270e-08
9.0000e+02,4.6370e-08
9.0020e+02,4.4670e-08
9.0040e+02,4.8850e-08
9.0060e+02,4.9940e-08
9.0080e+02,4.8840e-08
9.0100e+02,5.2760e-08
9.0120e+02,5.4710e-08
9.0140e+02,5.5890e-08
9.0160e+02,5.6960e-08
9.0180e+02,6.0230e-08
9.0200e+02,6.2110e-08
9.0220e+02,6.0770e-08
9.0240e+02,6.5580e-08
9.0260e+02,6.5930e-08
9.0280e+02,6.3050e-08
9.0300e+02,7.0410e-08
9.0320e+02,6.9060e-08
9.0340e+02,7.0120e-08
9.0360e+02,7.2510e-08
9.0380e+02,7.7450e-08
9.0400e+02,7.6090e-08
9.0420e+02,7.8650e-08
9.0440e+02,8.0500e-08
9.0460e+02,8.3610e-08
9.0480e+02,8.4410e-08
9.0500e+02,8.6930e-08
9.0520e+02,8.9110e-08
9.0540e+02,9.1750e-08
9.0560e+02,9.3550e-08
