# wavelength in nm, signal in a.u.
9.1360e+02,4.2600e-06
9.1380e+02,4.2500e-06
9.1400e+02,4.2510e-06
9.1420e+02,4.2580e-06
9.1440e+02,4.2650e-06
9.1460e+02,4.2720e-06
9.1480e+02,4.2760e-06
9.1500e+02,4.2860e-06
9.1520e+02,4.2970e-06
9.1540e+02,4.3040e-06
9.1560e+02,4.2990e-06
9.1580e+02,4.2770e-06
9.1600e+02,4.2670e-06
9.1620e+02,4.2630e-06
9.1640e+02,4.2630e-06
9.1660e+02,4.2670e-06
9.1680e+02,4.2820e-06
9.1700e+02,4.2960e-06
9.1720e+02,4.3100e-06
9.1740e+02,4.3130e-06
9.1760e+02,4.3070e-06
9.1780e+02,4.2940e-06
9.1800e+02,4.2880e-06
9.1820e+02,4.2820e-06
9.1840e+02,4.2730e-06
9.1860e+02,4.2830e-06
9.1880e+02,4.2920e-06
9.1900e+02,4.3020e-06
9.1920e+02,4.3000e-06
9.1940e+02,4.2980e-06
9.1960e+02,4.2880e-06
9.1980e+02,4.2730e-06
9.2000e+02,4.2770e-06
9.2020e+02,4.2920e-06
9.2040e+02,4.2980e-06
9.2060e+02,4.3060e-06
9.2080e+02,4.3050e-06
9.2100e+02,4.3050e-06
9.2120e+02,4.3020e-06
9.2140e+02,4.3060e-06
9.2160e+02,4.3080e-06
9.2180e+02,4.3140e-06
9.2200e+02,4.3190e-06
9.2220e+02,4.3220e-06
9.2240e+02,4.3190e-06
9.2260e+02,4.3090e-06
9.2280e+02,4.3020e-06
9.2300e+02,4.2970e-06
9.2320e+02,4.2870e-06
9.2340e+02,4.2890e-06
9.2360e+02,4.3030e-06
9.2380e+02,4.3160e-06
9.2400e+02,4.3260e-06
9.2420e+02,4.3230e-06
9.2440e+02,4.3180e-06
9.2460e+02,4.3140e-06
9.2480e+02,4.3250e-06
9.2500e+02,4.3450e-06
9.2520e+02,4.3440e-06
9.2540e+02,4.3430e-06
9.2560e+02,4.3400e-06
9.2580e+02,4.3490e-06
9.2600e+02,4.3530e-06
9.2620e+02,4.3560e-06
9.2640e+02,4.3490e-06
9.2660e+02,4.3420e-06
9.2680e+02,4.3430e-06
9.2700e+02,4.3450e-06
9.2720e+02,4.3470e-06
9.2740e+02,4.3420e-06
9.2760e+02,4.3470e-06
9.2780e+02,4.3450e-06
9.2800e+02,4.3390e-06
9.2820e+02,4.3320e-06
9.2840e+02,4.3420e-06
9.2860e+02,4.3440e-06
9.2880e+02,4.3490e-06
9.2900e+02,4.3610e-06
9.2920e+02,4.3690e-06
9.2940e+02,4.3790e-06
9.2960e+02,4.3720e-06
9.2980e+02,4.3670e-06
9.3000e+02,4.3640e-06
9.3020e+02,4.3640e-06
9.3040e+02,4.3660e-06
9.3060e+02,4.3640e-06
9.3080e+02,4.3550e-06
9.3100e+02,4.3630e-06
9.3120e+02,4.3650e-06
9.3140e+02,4.3640e-06
9.3160e+02,4.3570e-06
9.3180e+02,4.3620e-06
9.3200e+02,4.3700e-06
9.3220e+02,4.3710e-06
9.3240e+02,4.3800e-06
9.3260e+02,4.3800e-06
9.3280e+02,4.3820e-06
9.3300e+02,4.3780e-06
9.3320e+02,4.3840e-06
9.3340e+02,4.3850e-06
9.3360e+02,4.3790e-06
9.3380e+02,4.3750e-06
9.3400e+02,4.3720e-06
9.3420e+02,4.3810e-06
9.3440e+02,4.4060e-06
9.3460e+02,4.3900e-06
9.3480e+02,4.3820e-06
9.3500e+02,4.3870e-06
9.3520e+02,4.4060e-06
9.3540e+02,4.4140e-06
9.3560e+02,4.4130e-06
9.3580e+02,4.4090e-06
9.3600e+02,4.4140e-06
9.3620e+02,4.4200e-06
9.3640e+02,4.4270e-06
9.3660e+02,4.4300e-06
9.3680e+02,4.4170e-06
9.3700e+02,4.4180e-06
9.3720e+02,4.4280e-06
9.3740e+02,4.4230e-06
9.3760e+02,4.4090e-06
9.3780e+02,4.3850e-06
9.3800e+02,4.3510e-06
9.3820e+02,4.3260e-06
9.3840e+02,4.3440e-06
9.3860e+02,4.3970e-06
9.3880e+02,4.4140e-06
9.3900e+02,4.3970e-06
9.3920e+02,4.4000e-06
9.3940e+02,4.4050e-06
9.3960e+02,4.3890e-06
9.3980e+02,4.3720e-06
9.4000e+02,4.3830e-06
9.4020e+02,4.3870e-06
