sigma_a_Yb:FP15_x	sigma_a_Yb:FP15_y	sigma_e_Füchtbauer_x	sigma_e_Füchtbauer_y	sigma_e_McCumber_x	sigma_e_McCumber_y	sigma_e_average_x	sigma_e_average_y	sigma_a_average_x	sigma_a_average_y
8.45850e+02	7.05492e-23	8.45850e+02	3.62065e-23	8.45850e+02	4.14509e-26	8.45850e+02	4.14509e-26	8.45850e+02	7.05492e-23
8.46200e+02	6.76987e-23	8.46200e+02	3.59292e-23	8.46200e+02	4.07363e-26	8.46200e+02	4.07363e-26	8.46200e+02	6.76987e-23
8.46550e+02	6.54595e-23	8.46550e+02	3.71855e-23	8.46550e+02	4.03389e-26	8.46550e+02	4.03389e-26	8.46550e+02	6.54595e-23
8.46900e+02	6.45802e-23	8.46900e+02	3.89479e-23	8.46900e+02	4.07561e-26	8.46900e+02	4.07561e-26	8.46900e+02	6.45802e-23
8.47250e+02	6.50469e-23	8.47250e+02	3.99326e-23	8.47250e+02	4.20390e-26	8.47250e+02	4.20390e-26	8.47250e+02	6.50469e-23
8.47600e+02	6.65532e-23	8.47600e+02	3.98131e-23	8.47600e+02	4.40474e-26	8.47600e+02	4.40474e-26	8.47600e+02	6.65532e-23
8.47950e+02	6.93529e-23	8.47950e+02	3.94186e-23	8.47950e+02	4.70037e-26	8.47950e+02	4.70037e-26	8.47950e+02	6.93529e-23
8.48300e+02	7.24823e-23	8.48300e+02	3.97477e-23	8.48300e+02	5.03045e-26	8.48300e+02	5.03045e-26	8.48300e+02	7.24823e-23
8.48650e+02	7.45544e-23	8.48650e+02	4.08857e-23	8.48650e+02	5.29843e-26	8.48650e+02	5.29843e-26	8.48650e+02	7.45544e-23
8.49000e+02	7.40020e-23	8.49000e+02	4.19627e-23	8.49000e+02	5.38528e-26	8.49000e+02	5.38528e-26	8.49000e+02	7.40020e-23
8.49350e+02	7.30464e-23	8.49350e+02	4.20990e-23	8.49350e+02	5.44309e-26	8.49350e+02	5.44309e-26	8.49350e+02	7.30464e-23
8.49700e+02	7.20284e-23	8.49700e+02	4.12293e-23	8.49700e+02	5.49572e-26	8.49700e+02	5.49572e-26	8.49700e+02	7.20284e-23
8.50050e+02	7.04431e-23	8.50050e+02	3.99779e-23	8.50050e+02	5.50332e-26	8.50050e+02	5.50332e-26	8.50050e+02	7.04431e-23
8.50400e+02	6.98050e-23	8.50400e+02	3.89382e-23	8.50400e+02	5.58379e-26	8.50400e+02	5.58379e-26	8.50400e+02	6.98050e-23
8.50750e+02	7.02656e-23	8.50750e+02	3.82952e-23	8.50750e+02	5.75485e-26	8.50750e+02	5.75485e-26	8.50750e+02	7.02656e-23
8.51100e+02	7.22242e-23	8.51100e+02	3.80803e-23	8.51100e+02	6.05639e-26	8.51100e+02	6.05639e-26	8.51100e+02	7.22242e-23
8.51450e+02	7.52468e-23	8.51450e+02	3.84398e-23	8.51450e+02	6.46027e-26	8.51450e+02	6.46027e-26	8.51450e+02	7.52468e-23
8.51800e+02	7.78386e-23	8.51800e+02	3.93881e-23	8.51800e+02	6.84196e-26	8.51800e+02	6.84196e-26	8.51800e+02	7.78386e-23
8.52150e+02	7.84028e-23	8.52150e+02	4.04298e-23	8.52150e+02	7.05557e-26	8.52150e+02	7.05557e-26	8.52150e+02	7.84028e-23
8.52500e+02	7.83363e-23	8.52500e+02	4.07992e-23	8.52500e+02	7.21722e-26	8.52500e+02	7.21722e-26	8.52500e+02	7.83363e-23
8.52850e+02	7.74517e-23	8.52850e+02	4.02574e-23	8.52850e+02	7.30525e-26	8.52850e+02	7.30525e-26	8.52850e+02	7.74517e-23
8.53200e+02	7.71050e-23	8.53200e+02	3.94629e-23	8.53200e+02	7.44521e-26	8.53200e+02	7.44521e-26	8.53200e+02	7.71050e-23
8.53550e+02	7.64709e-23	8.53550e+02	3.92959e-23	8.53550e+02	7.55912e-26	8.53550e+02	7.55912e-26	8.53550e+02	7.64709e-23
8.53900e+02	7.56909e-23	8.53900e+02	3.98513e-23	8.53900e+02	7.65934e-26	8.53900e+02	7.65934e-26	8.53900e+02	7.56909e-23
8.54250e+02	7.58752e-23	8.54250e+02	4.03779e-23	8.54250e+02	7.85981e-26	8.54250e+02	7.85981e-26	8.54250e+02	7.58752e-23
8.54600e+02	7.65400e-23	8.54600e+02	4.03159e-23	8.54600e+02	8.11628e-26	8.54600e+02	8.11628e-26	8.54600e+02	7.65400e-23
8.54950e+02	7.77851e-23	8.54950e+02	4.01087e-23	8.54950e+02	8.44332e-26	8.54950e+02	8.44332e-26	8.54950e+02	7.77851e-23
8.55300e+02	7.94411e-23	8.55300e+02	4.06361e-23	8.55300e+02	8.82676e-26	8.55300e+02	8.82676e-26	8.55300e+02	7.94411e-23
8.55650e+02	8.03496e-23	8.55650e+02	4.18886e-23	8.55650e+02	9.13842e-26	8.55650e+02	9.13842e-26	8.55650e+02	8.03496e-23
8.56000e+02	7.97963e-23	8.56000e+02	4.26513e-23	8.56000e+02	9.28952e-26	8.56000e+02	9.28952e-26	8.56000e+02	7.97963e-23
8.56350e+02	8.06388e-23	8.56350e+02	4.18477e-23	8.56350e+02	9.60880e-26	8.56350e+02	9.60880e-26	8.56350e+02	8.06388e-23
8.56700e+02	8.25328e-23	8.56700e+02	4.00346e-23	8.56700e+02	1.00660e-25	8.56700e+02	1.00660e-25	8.56700e+02	8.25328e-23
8.57050e+02	8.35059e-23	8.57050e+02	3.91007e-23	8.57050e+02	1.04243e-25	8.57050e+02	1.04243e-25	8.57050e+02	8.35059e-23
8.57400e+02	8.40676e-23	8.57400e+02	4.02560e-23	8.57400e+02	1.07411e-25	8.57400e+02	1.07411e-25	8.57400e+02	8.40676e-23
8.57750e+02	8.31747e-23	8.57750e+02	4.25584e-23	8.57750e+02	1.08766e-25	8.57750e+02	1.08766e-25	8.57750e+02	8.31747e-23
8.58100e+02	8.17800e-23	8.58100e+02	4.37877e-23	8.58100e+02	1.09452e-25	8.58100e+02	1.09452e-25	8.58100e+02	8.17800e-23
8.58450e+02	8.20388e-23	8.58450e+02	4.28093e-23	8.58450e+02	1.12372e-25	8.58450e+02	1.12372e-25	8.58450e+02	8.20388e-23
